run_id,app_name,dataset,study_name,dataset_group,alpha_gyro,alpha_acc,dataset_nees,trial_mean_nees,trial_sum_deviations
20260504T020331353Z,evalPimNoiseCalibration,V202/tangent,all_pim_combined_coarse,all,0.5,1.0,228.479,120.119,2620.61
20260504T020331353Z,evalPimNoiseCalibration,V203/quadrature,all_pim_combined_coarse,all,0.5,1.0,404.659,120.119,2620.61
20260504T020331353Z,evalPimNoiseCalibration,V203/tangent,all_pim_combined_coarse,all,0.5,1.0,347.251,120.119,2620.61
20260504T020331353Z,evalPimNoiseCalibration,MH01/quadrature,all_pim_combined_coarse,all,0.5,2.0,16.0775,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH01/tangent,all_pim_combined_coarse,all,0.5,2.0,32.8451,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH02/quadrature,all_pim_combined_coarse,all,0.5,2.0,12.65,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH02/tangent,all_pim_combined_coarse,all,0.5,2.0,23.549,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH03/quadrature,all_pim_combined_coarse,all,0.5,2.0,19.0219,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH03/tangent,all_pim_combined_coarse,all,0.5,2.0,46.0418,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH04/quadrature,all_pim_combined_coarse,all,0.5,2.0,19.376,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH04/tangent,all_pim_combined_coarse,all,0.5,2.0,35.2712,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH05/quadrature,all_pim_combined_coarse,all,0.5,2.0,19.6353,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH05/tangent,all_pim_combined_coarse,all,0.5,2.0,29.856,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V101/quadrature,all_pim_combined_coarse,all,0.5,2.0,135.322,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V101/tangent,all_pim_combined_coarse,all,0.5,2.0,162.808,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V102/quadrature,all_pim_combined_coarse,all,0.5,2.0,30.4441,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V102/tangent,all_pim_combined_coarse,all,0.5,2.0,54.7034,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V103/quadrature,all_pim_combined_coarse,all,0.5,2.0,48.4377,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V103/tangent,all_pim_combined_coarse,all,0.5,2.0,103.966,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V201/quadrature,all_pim_combined_coarse,all,0.5,2.0,43.4428,75.4965,1638.92
