family,lambda1,overall_rmse_win_rate,overall_median_rmse_advantage,overall_mean_rmse_advantage,overall_rows,robust_N_mean_win_rate,robust_N_median_win_rate,robust_N_positive_advantage_rows,robust_rows
analytic scalar functions,0.0,0.6336700336700337,0.000137486489727022,-0.006285835214753452,1485,0.8545454545454544,0.9090909090909091,1.0,15
analytic scalar functions,0.005,0.6531986531986532,0.00019840055220187933,-0.00527392906317648,1485,0.8848484848484848,0.9090909090909091,1.0,15
random degree-4 polynomials,0.0,0.5784511784511784,5.901914494728464e-05,-0.0039472507896676,1485,1.0,1.0,1.0,15
random degree-4 polynomials,0.005,0.6053872053872054,7.69457980219244e-05,-0.003649175175740905,1485,0.9636363636363635,1.0,1.0,15
EuRoC aggressive 200 ms snippets,0.0,0.38016528925619836,-2.2455716192026285e-05,-0.0002856537490338298,5445,0.6793388429752065,0.7272727272727273,0.8727272727272727,55
EuRoC aggressive 200 ms snippets,0.005,0.461524334251607,-9.268396233462267e-06,-0.00021186630175258297,5445,0.7090909090909091,0.7272727272727273,0.9454545454545454,55
